gene,r,p_adj
aten_0.1.m1.4935.m1,-1,1
aten_0.1.m1.16992.m1,-4,1
aten_0.1.m1.22938.m1,1,1
aten_0.1.m1.22938.m1,1,1
aten_0.1.m1.29282.m1,4,1
aten_0.1.m1.27275.m1,0,1
aten_0.1.m1.708.m1,0,1
aten_0.1.m1.18958.m1,15,0.315355142
aten_0.1.m1.31594.m1,4,1
aten_0.1.m1.11569.m1,6,1
aten_0.1.m1.4603.m1,0,1
aten_0.1.m1.4603.m1,0,1
aten_0.1.m1.13071.m1,0,1
aten_0.1.m1.13071.m1,0,1
aten_0.1.m1.6490.m1,0,1
aten_0.1.m1.6490.m1,0,1
aten_0.1.m1.21868.m1,1,1
aten_0.1.m1.23824.m1,10,0.317102795
aten_0.1.m1.27625.m1,-12,0.320835368
aten_0.1.m1.19698.m1,-3,0.823946746
aten_0.1.m1.27863.m1,5,0.358799898
aten_0.1.m1.27863.m1,5,0.358799898
aten_0.1.m1.15681.m1,8,0.484738186
aten_0.1.m1.15681.m1,8,0.484738186
aten_0.1.m1.24194.m1,5,1
aten_0.1.m1.20279.m1,0,1
aten_0.1.m1.17366.m1,0,1
aten_0.1.m1.13117.m1,12,0.433008542
aten_0.1.m1.7440.m1,-4,1
aten_0.1.m1.16890.m1,-5,1
aten_0.1.m1.16890.m1,-5,1
aten_0.1.m1.5961.m1,-1,1
aten_0.1.m1.5961.m1,-1,1
aten_0.1.m1.29437.m1,2,1
aten_0.1.m1.7985.m1,-6,1
aten_0.1.m1.1137.m1,12,0.365974035
aten_0.1.m1.6190.m1,0,1
aten_0.1.m1.6190.m1,0,1
aten_0.1.m1.6203.m1,14,0.214788226
aten_0.1.m1.11620.m1,-7,0.919324265
aten_0.1.m1.11620.m1,-7,0.919324265
aten_0.1.m1.14324.m1,0,1
aten_0.1.m1.14324.m1,0,1
aten_0.1.m1.24338.m1,-1,1
aten_0.1.m1.24338.m1,-1,1
aten_0.1.m1.667.m1,-1,1
aten_0.1.m1.667.m1,-1,1
aten_0.1.m1.32536.m1,-8,0.758267114
aten_0.1.m1.21212.m1,0,1
aten_0.1.m1.21212.m1,0,1
aten_0.1.m1.25162.m1,-4,1
aten_0.1.m1.12734.m1,8,0.758267114
aten_0.1.m1.12734.m1,8,0.758267114
aten_0.1.m1.6042.m1,4,1
aten_0.1.m1.31915.m1,0,1
aten_0.1.m1.15058.m1,5,0.686079772
aten_0.1.m1.15058.m1,5,0.686079772
aten_0.1.m1.448.m1,-7,0.823946746
aten_0.1.m1.17776.m1,-6,0.496714564
aten_0.1.m1.745.m1,0,1
aten_0.1.m1.745.m1,0,1
aten_0.1.m1.15710.m1,0,1
aten_0.1.m1.33292.m1,3,1
aten_0.1.m1.6673.m1,0,1
aten_0.1.m1.6673.m1,0,1
aten_0.1.m1.1507.m1,0,1
aten_0.1.m1.23378.m1,9,0.652288775
aten_0.1.m1.6342.m1,10,0.631590725
aten_0.1.m1.32982.m1,0,1
aten_0.1.m1.15462.m1,17,0.200047928
aten_0.1.m1.1973.m1,2,1
aten_0.1.m1.1973.m1,2,1
aten_0.1.m1.2095.m1,3,1
aten_0.1.m1.2095.m1,3,1
aten_0.1.m1.5793.m1,-14,0.278673191
aten_0.1.m1.21189.m1,10,0.030051604
aten_0.1.m1.20834.m1,2,1
aten_0.1.m1.20834.m1,2,1
aten_0.1.m1.29060.m1,-1,1
aten_0.1.m1.22383.m1,-4,1
aten_0.1.m1.3443.m1,15,0.309476867
aten_0.1.m1.3443.m1,15,0.309476867
