MCMC	Heritability
1589	0.95977
1590	0.939655
1591	0.951149
1592	0.962644
1593	0.928161
1594	0.824713
1595	0.810345
1596	0.979885
1597	0.982759
1598	0.979885
1599	0.928161
1600	0.916667
1601	0.931034
1602	0.890805
1603	0.971264
1604	0.772989
1605	0.905172
1606	0.804598
1607	1
1608	0.942529
1609	0.95977
1610	0.862069
1611	0.939655
1612	0.931034
1613	0.974138
1614	0.988506
1615	0.956897
1616	1
1617	0.821839
1618	0.91092
1619	0.66092
1620	0.885057
1621	0.95977
1622	0.925287
1623	0.95977
1624	0.853448
1625	0.816092
1626	0.939655
1627	0.974138
1628	0.948276
1629	0.836207
1630	0.752874
1631	0.890805
1632	0.95977
1633	0.962644
1634	0.916667
1635	0.841954
1636	0.91954
1637	0.95977
1638	0.83908
1639	0.83046
1640	0.95977
1641	0.942529
1642	0.913793
1643	0.971264
1644	0.873563
1645	0.979885
1646	0.956897
1647	0.931034
1648	0.890805
1649	0.95977
1650	0.931034
1651	0.971264
1652	0.925287
1653	0.95977
1654	0.933908
1655	0.896552
1656	0.948276
1657	0.965517
1658	0.945402
1659	0.971264
1660	0.876437
1661	0.945402
1662	0.965517
1663	0.974138
1664	0.951149
1665	0.862069
1666	0.965517
1667	0.885057
1668	0.87931
1669	0.908046
1670	0.945402
1671	0.948276
1672	0.939655
1673	0.942529
1674	0.87069
1675	0.905172
1676	0.977011
1677	0.83908
1678	0.859195
1679	0.833333
1680	0.893678
1681	0.954023
1682	0.965517
1683	0.867816
1684	0.899425
1685	0.704023
1686	0.764368
1687	0.818966
1688	0.956897
1689	0.951149
1690	0.931034
1691	0.968391
1692	0.931034
1693	0.856322
1694	0.971264
1695	0.747126
1696	0.951149
1697	0.982759
1698	0.933908
1699	0.928161
1700	0.704023
1701	0.847701
1702	0.939655
1703	0.936782
1704	0.704023
1705	0.974138
1706	0.95977
1707	0.991379
1708	0.939655
1709	0.689655
1710	0.83908
1711	0.681034
1712	0.968391
1713	0.942529
1714	0.965517
1715	0.931034
1716	0.965517
1717	0.836207
1718	0.985632
1719	0.87931
1720	0.968391
1721	0.847701
1722	0.810345
1723	0.95977
1724	0.821839
1725	0.813218
1726	0.951149
1727	0.905172
1728	0.962644
1729	0.603448
1730	0.954023
1731	0.87931
1732	0.896552
1733	0.951149
1734	0.951149
1735	0.985632
1736	0.931034
1737	0.965517
1738	0.979885
