name	term	lev	seq	value
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.36661.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.14924.m1	0.04480393
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.18761.m1	0.030771677
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.5024.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.28934.m1	0.053048727
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.16268.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.28579.m1	0.177961615
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.13999.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.4482.m1	0.001278719
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.21070.m1	0.037870814
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.34762.m1	0.078817065
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.15275.m1	0.202732304
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.1231.m1	0.049995696
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.10225.m1	0.246032782
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.15151.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.20716.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.3080.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.19865.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.16895.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.31765.m1	0.503804398
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.8452.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.36804.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.28558.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.32765.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.632.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.19696.m1	0.30199703
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.16630.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.31432.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.3960.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.34853.m1	0
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.9278.m1	-0.036018298
"hydrolase activity"	GO:0016787	2	aten_0.1.m1.36631.m1	0
"voltage-gated calcium channel activity"	GO:0005245;GO:0022843	4	aten_0.1.m1.13368.m1	0
"voltage-gated calcium channel activity"	GO:0005245;GO:0022843	4	aten_0.1.m1.15280.m1	-0.021247911
"threonine aldolase activity"	GO:0004793;GO:0016832	5	aten_0.1.m1.18878.m1	0
"threonine aldolase activity"	GO:0004793;GO:0016832	5	aten_0.1.m1.18877.m1	0
"chloride transmembrane transporter activity"	GO:0005254;GO:0005253;GO:0015108;GO:0015103;GO:0008509	4	aten_0.1.m1.9224.m1	0.045278678
"chloride transmembrane transporter activity"	GO:0005254;GO:0005253;GO:0015108;GO:0015103;GO:0008509	4	aten_0.1.m1.26537.m1	0.320642426
"chloride transmembrane transporter activity"	GO:0005254;GO:0005253;GO:0015108;GO:0015103;GO:0008509	4	aten_0.1.m1.19011.m1	0
"SNARE binding"	GO:0000149	2	aten_0.1.m1.8942.m1	-0.000978447
"SNARE binding"	GO:0000149	2	aten_0.1.m1.28117.m1	0
"SNARE binding"	GO:0000149	2	aten_0.1.m1.8941.m1	-0.000978447
"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0016627	3	aten_0.1.m1.14966.m1	0
"oxidoreductase activity, acting on the CH-CH group of donors"	GO:0016627	3	aten_0.1.m1.30089.m1	0.030876293
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.2874.m1	0.010493163
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.28036.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.7112.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.35850.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.3043.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.35851.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.7139.m1	0
"antioxidant activity"	GO:0004601;GO:0016209;GO:0016684	2	aten_0.1.m1.14728.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.29654.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.16220.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.29522.m1	0.173083904
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.24046.m1	0.032269261
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.30349.m1	0.392059194
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.16196.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.7909.m1	0.24260453
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.36337.m1	0.100615815
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.21000.m1	0.40659765
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.21309.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.3732.m1	0
"magnesium ion binding"	GO:0000287	2	aten_0.1.m1.36338.m1	0.100615815
